구별,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.38461538461538464,1.0,1.0,1.0,1.0,1.0,1.0,0.8136171439554103,0.7734178979648733,0.9701808759485804,561052,3238,0.876923076923077,0.9114431835737727
강동구,0.3076923076923077,0.358974358974359,0.31007751937984496,0.488988012266518,0.632183908045977,1.0,0.9285714285714286,0.965702479338843,0.7438304284085356,0.9576875809612382,440359,1010,0.4195832212718013,0.9191583834560092
강북구,0.5384615384615384,0.1282051282051282,0.42054263565891475,0.34067465848898804,0.6941529235382309,0.8571428571428571,0.8,0.7448299501085426,0.795417348608838,0.9835441736089684,328002,831,0.42440737687056007,0.8361868658938413
강서구,0.6923076923076923,0.2564102564102564,0.5329457364341085,0.544187343183719,0.800599700149925,1.0,1.0,0.8834560480841472,0.7928681206088992,0.9510380931398777,608255,911,0.5652901456971401,0.9254724523665848
관악구,0.46153846153846156,0.3076923076923077,0.624031007751938,0.5862838026205743,0.8083458270864567,1.0,0.8333333333333335,0.8334274421230943,0.644461993071123,0.9211668593248737,520929,2109,0.5575782813379477,0.846477925570485
광진구,0.3076923076923077,0.28205128205128205,0.5406976744186046,0.734875940897686,0.5977011494252874,1.0,0.5454545454545454,0.8525726472940549,0.5799981031866465,0.9254974565076867,372298,878,0.49260367089703355,0.7807045504885867
구로구,0.6923076923076923,0.2564102564102564,0.5290697674418605,0.5324783942012824,0.7906046976511744,1.0,1.0,0.6739624012351284,0.6520287958115184,0.9324437739697649,441559,1884,0.5601741616024531,0.8516869942032823
금천구,0.46153846153846156,0.1794871794871795,0.3391472868217054,0.3523836074714246,0.547976011994003,1.0,1.0,0.8306493506493507,0.7483894665461122,0.9768514793058127,253491,1348,0.37610650946255475,0.9111780593002552
노원구,0.38461538461538464,0.15384615384615385,0.3081395348837209,0.5177028157234458,0.6286856571714143,1.0,1.0,0.9078434430063932,0.5763904915762752,0.9293262615061922,558075,1566,0.3985979092480239,0.8827120392177721
도봉구,0.23076923076923078,0.1282051282051282,0.23837209302325582,0.24142737663785893,0.3600699650174913,1.0,1.0,1.0,0.8217584955460244,1.0,346234,825,0.239768758730593,0.9643516991092049
동대문구,0.38461538461538464,0.2564102564102564,0.3682170542635659,0.5408419291887371,0.6601699150424788,1.0,1.0,0.8453240539364941,0.7985180412371136,0.9904229670672207,366011,1870,0.4420509079040846,0.9268530124481658
동작구,0.6153846153846154,0.1794871794871795,0.6298449612403101,0.3417897964873153,0.41504247876061967,0.75,1.0,0.4660394151303242,0.6536063854579353,0.9570219418291097,408493,1302,0.436309806272008,0.7653335484834738
마포구,0.3076923076923077,0.10256410256410256,0.7732558139534884,0.7044884304432674,0.7343828085957022,1.0,1.0,0.8152612937301932,0.5380462434281192,0.9364072270623118,385783,980,0.5244766926497736,0.8579429528441249
서대문구,0.46153846153846156,0.1282051282051282,0.3391472868217054,0.41901310287148036,0.49375312343828087,1.0,0.8,0.8538842975206612,0.7236954662104363,0.915881332290001,325028,1254,0.3683314205750113,0.8586922192042197
서초구,0.38461538461538464,0.3333333333333333,0.8294573643410853,0.6147198215779203,0.584207896051974,1.0,0.7692307692307694,0.6436433150536804,0.7261661807580176,0.9553486065084716,445401,2297,0.5492667599839395,0.8188777743101878
성동구,0.3076923076923077,0.07692307692307693,0.20155038759689922,0.36130471145804294,0.4045477261369315,1.0,1.0,0.762396694214876,1.0,0.9573707185159427,312711,1327,0.2704036419614516,0.9439534825461637
성북구,0.3076923076923077,0.20512820512820512,0.29844961240310075,0.4098132143852802,0.526736631684158,0.75,1.0,0.7722979499839004,0.7133746355685131,0.9499186771482787,455407,1651,0.34956399425861034,0.8371182525401386
송파구,0.6923076923076923,0.38461538461538464,0.45348837209302323,0.7089489824365766,0.8218390804597702,0.8888888888888888,0.8,0.7993218902309812,0.5960901072973428,0.9398478759092569,671173,1081,0.6122399023824894,0.804829752465294
양천구,0.38461538461538464,0.1794871794871795,0.25387596899224807,0.47923055478115417,0.5622188905547226,1.0,1.0,0.8380543814270393,0.6352842183994017,0.9384052287581699,475018,2482,0.3718855956861378,0.8823487657169222
영등포구,1.0,0.48717948717948717,0.689922480620155,0.6526345135210482,0.8978010994502749,1.0,0.7368421052631579,0.6424691243383787,0.5807957527308233,0.9212988841514899,402024,1277,0.7455075161541931,0.7762811732967699
용산구,0.3076923076923077,0.23076923076923078,0.48643410852713176,0.4151101198773348,0.5957021489255372,1.0,1.0,0.8666820322017714,0.5818742204739519,0.9272178670125768,244444,2096,0.4071415831583085,0.87515482393766
은평구,0.46153846153846156,0.23076923076923078,0.3023255813953488,0.46445497630331756,0.6656671664167916,1.0,0.7777777777777779,0.9253019707565162,0.7727019379180243,0.9537310419663362,491202,2108,0.42495108328463005,0.8859025456837308
종로구,0.46153846153846156,0.3076923076923077,0.46124031007751937,0.5408419291887371,0.5654672663668165,0.33333333333333326,0.75,0.7559899993055073,0.5726067746686304,0.961715132363153,164257,1619,0.4673560549727684,0.6747290479341247
중구,0.23076923076923078,0.20512820512820512,0.38372093023255816,0.59938667410092,0.5559720139930034,1.0,0.875,0.7598297019784623,0.6149003322259138,0.987540364460391,134593,1023,0.39499541084478346,0.8474540797329535
중랑구,0.6153846153846154,0.358974358974359,0.3178294573643411,0.47142458879286314,0.7906046976511744,0.875,1.0,0.9297520661157025,0.8998479344428488,0.9435774309723889,412780,916,0.5108435436334706,0.9296354863061881
